,Happiness,spent_on_MATA,spent_on_Bills,spent_on_TSA,spent_on_EXPA
365,5.0,250.0,550.0,90.0,450.0
366,6.0,0.0,250.0,0.0,0.0
367,4.0,350.0,450.0,0.0,250.0
368,4.0,50.0,650.0,0.0,0.0
369,10.0,0.0,90.0,0.0,0.0
370,10.0,0.0,90.0,0.0,0.0
371,8.0,1000.0,650.0,750.0,750.0
372,8.0,0.0,90.0,0.0,0.0
373,7.0,250.0,450.0,0.0,70.0
374,10.0,90.0,90.0,150.0,250.0
375,6.0,0.0,90.0,150.0,350.0
376,7.0,250.0,650.0,150.0,650.0
377,5.0,450.0,650.0,0.0,250.0
378,7.0,0.0,850.0,50.0,0.0
379,6.0,30.0,150.0,0.0,0.0
380,8.0,650.0,550.0,650.0,750.0
381,10.0,750.0,750.0,850.0,650.0
382,8.0,90.0,90.0,30.0,250.0
383,6.0,150.0,550.0,30.0,250.0
384,7.0,150.0,1000.0,0.0,0.0
385,8.0,0.0,10.0,0.0,0.0
386,7.0,150.0,350.0,70.0,90.0
387,5.0,70.0,90.0,0.0,250.0
388,7.0,70.0,250.0,0.0,0.0
389,8.0,350.0,650.0,0.0,250.0
390,6.0,90.0,350.0,150.0,90.0
391,6.0,850.0,450.0,70.0,150.0
392,6.0,30.0,30.0,0.0,90.0
393,8.0,70.0,70.0,30.0,0.0
394,10.0,650.0,70.0,450.0,0.0
395,5.0,70.0,550.0,0.0,0.0
396,2.0,250.0,50.0,0.0,0.0
397,,0.0,,0.0,0.0
398,9.0,0.0,90.0,50.0,30.0
399,6.0,70.0,350.0,0.0,70.0
400,,0.0,,0.0,0.0
401,7.0,90.0,750.0,0.0,250.0
402,8.0,70.0,250.0,30.0,0.0
403,9.0,450.0,1000.0,650.0,750.0
404,8.0,0.0,250.0,550.0,750.0
405,9.0,90.0,650.0,0.0,350.0
406,7.0,0.0,50.0,0.0,0.0
407,6.0,70.0,550.0,0.0,90.0
408,3.0,70.0,750.0,0.0,250.0
409,8.0,250.0,750.0,150.0,350.0
410,8.0,70.0,250.0,10.0,0.0
411,5.0,350.0,550.0,0.0,350.0
412,8.0,250.0,1000.0,150.0,250.0
413,10.0,850.0,850.0,750.0,850.0
414,10.0,250.0,50.0,150.0,150.0
415,5.0,0.0,550.0,0.0,0.0
416,2.0,90.0,150.0,0.0,0.0
417,4.0,30.0,250.0,0.0,70.0
418,8.0,90.0,950.0,650.0,350.0
419,1.0,70.0,550.0,0.0,0.0
420,8.0,90.0,550.0,0.0,150.0
421,10.0,750.0,650.0,250.0,750.0
422,7.0,0.0,1000.0,0.0,0.0
423,8.0,1000.0,950.0,0.0,0.0
424,6.0,250.0,1000.0,0.0,0.0
425,9.0,50.0,150.0,0.0,70.0
426,8.0,70.0,650.0,0.0,0.0
427,6.0,70.0,150.0,0.0,70.0
428,8.0,70.0,550.0,0.0,0.0
429,8.0,90.0,650.0,0.0,0.0
430,6.0,70.0,550.0,70.0,250.0
431,7.0,90.0,350.0,150.0,650.0
432,7.0,50.0,550.0,0.0,450.0
433,6.0,150.0,150.0,50.0,250.0
434,5.0,30.0,750.0,0.0,90.0
435,8.0,70.0,1000.0,450.0,750.0
436,4.0,0.0,,0.0,0.0
437,9.0,70.0,750.0,0.0,0.0
438,10.0,,1000.0,1000.0,
439,10.0,350.0,1000.0,450.0,650.0
440,4.0,70.0,30.0,0.0,0.0
441,1.0,50.0,70.0,150.0,0.0
442,10.0,70.0,1000.0,0.0,0.0
443,5.0,250.0,950.0,350.0,0.0
444,5.0,70.0,450.0,0.0,250.0
445,6.0,350.0,550.0,150.0,250.0
446,6.0,90.0,550.0,0.0,150.0
447,9.0,150.0,50.0,150.0,50.0
448,10.0,50.0,10.0,30.0,30.0
449,7.0,30.0,350.0,0.0,0.0
450,8.0,0.0,750.0,0.0,350.0
451,8.0,0.0,250.0,0.0,0.0
452,5.0,70.0,250.0,0.0,0.0
453,5.0,0.0,750.0,0.0,0.0
454,7.0,50.0,550.0,150.0,350.0
455,6.0,0.0,90.0,0.0,0.0
456,10.0,250.0,550.0,150.0,250.0
457,5.0,0.0,550.0,150.0,0.0
458,5.0,250.0,550.0,0.0,90.0
459,9.0,250.0,450.0,50.0,350.0
460,10.0,10.0,10.0,0.0,0.0
461,6.0,250.0,450.0,0.0,350.0
462,7.0,0.0,150.0,0.0,250.0
463,10.0,450.0,450.0,90.0,750.0
464,,0.0,,0.0,0.0
465,,0.0,,0.0,0.0
466,9.0,350.0,1000.0,0.0,0.0
467,7.0,150.0,350.0,150.0,550.0
468,6.0,70.0,450.0,0.0,250.0
469,5.0,0.0,50.0,0.0,0.0
470,8.0,50.0,550.0,30.0,90.0
471,4.0,150.0,450.0,150.0,250.0
472,5.0,150.0,750.0,0.0,0.0
473,6.0,750.0,90.0,150.0,550.0
474,3.0,350.0,550.0,0.0,0.0
475,8.0,250.0,650.0,550.0,550.0
476,3.0,50.0,450.0,0.0,50.0
477,8.0,350.0,650.0,50.0,550.0
478,7.0,250.0,750.0,150.0,250.0
479,7.0,70.0,850.0,350.0,450.0
480,8.0,0.0,1000.0,0.0,70.0
481,8.0,0.0,150.0,0.0,0.0
482,7.0,550.0,1000.0,450.0,250.0
483,9.0,650.0,1000.0,150.0,250.0
484,2.0,250.0,70.0,0.0,250.0
485,8.0,50.0,90.0,10.0,250.0
486,5.0,250.0,550.0,0.0,0.0
487,9.0,50.0,350.0,0.0,0.0
488,5.0,50.0,50.0,0.0,50.0
489,5.0,250.0,150.0,150.0,0.0
490,9.0,250.0,1000.0,0.0,650.0
491,8.0,0.0,450.0,0.0,0.0
492,7.0,50.0,650.0,50.0,70.0
493,5.0,0.0,1000.0,1000.0,0.0
494,8.0,250.0,150.0,0.0,350.0
495,4.0,70.0,90.0,0.0,90.0
496,8.0,70.0,250.0,0.0,90.0
497,10.0,90.0,350.0,150.0,150.0
498,6.0,90.0,550.0,0.0,0.0
499,10.0,250.0,90.0,70.0,0.0
500,7.0,250.0,750.0,0.0,0.0
501,10.0,70.0,550.0,0.0,0.0
502,6.0,50.0,90.0,0.0,50.0
503,6.0,70.0,850.0,0.0,0.0
504,7.0,50.0,1000.0,0.0,0.0
505,6.0,0.0,750.0,0.0,0.0
506,8.0,70.0,550.0,0.0,70.0
507,8.0,250.0,750.0,1000.0,450.0
508,6.0,250.0,350.0,50.0,550.0
509,6.0,90.0,550.0,0.0,70.0
510,7.0,50.0,550.0,0.0,70.0
511,6.0,250.0,250.0,0.0,150.0
512,10.0,70.0,90.0,0.0,0.0
513,9.0,150.0,1000.0,250.0,250.0
514,8.0,70.0,650.0,50.0,70.0
515,5.0,0.0,550.0,0.0,0.0
516,5.0,90.0,550.0,70.0,70.0
517,5.0,250.0,850.0,0.0,0.0
518,6.0,0.0,30.0,70.0,0.0
519,10.0,250.0,1000.0,150.0,250.0
520,5.0,0.0,70.0,0.0,0.0
521,8.0,30.0,90.0,0.0,0.0
522,9.0,650.0,550.0,450.0,350.0
523,5.0,0.0,70.0,0.0,0.0
524,8.0,150.0,750.0,0.0,0.0
525,6.0,0.0,90.0,250.0,550.0
526,7.0,70.0,1000.0,0.0,150.0
527,7.0,70.0,650.0,0.0,90.0
528,8.0,0.0,450.0,550.0,750.0
529,7.0,250.0,450.0,50.0,0.0
530,2.0,70.0,250.0,10.0,50.0
531,8.0,350.0,650.0,0.0,350.0
532,3.0,70.0,550.0,0.0,0.0
533,7.0,350.0,450.0,50.0,0.0
534,8.0,250.0,750.0,0.0,150.0
535,10.0,90.0,90.0,90.0,250.0
536,10.0,70.0,150.0,50.0,50.0
537,5.0,70.0,850.0,0.0,0.0
538,4.0,350.0,30.0,150.0,50.0
539,6.0,0.0,750.0,0.0,0.0
540,7.0,50.0,750.0,250.0,350.0
541,9.0,250.0,750.0,150.0,350.0
542,6.0,50.0,950.0,0.0,250.0
543,10.0,250.0,650.0,0.0,450.0
544,5.0,0.0,1000.0,0.0,90.0
545,8.0,0.0,90.0,10.0,70.0
546,7.0,90.0,550.0,0.0,150.0
547,4.0,150.0,30.0,0.0,90.0
548,7.0,90.0,550.0,0.0,550.0
549,5.0,0.0,650.0,0.0,0.0
550,3.0,90.0,90.0,0.0,0.0
551,7.0,90.0,150.0,150.0,350.0
552,5.0,150.0,70.0,0.0,0.0
553,7.0,90.0,450.0,0.0,250.0
554,9.0,90.0,650.0,0.0,250.0
555,6.0,70.0,150.0,0.0,90.0
556,8.0,70.0,550.0,0.0,0.0
557,5.0,50.0,90.0,10.0,50.0
558,0.0,70.0,30.0,10.0,0.0
559,6.0,150.0,550.0,0.0,0.0
560,5.0,250.0,550.0,70.0,90.0
561,8.0,0.0,550.0,0.0,0.0
562,8.0,0.0,1000.0,0.0,250.0
563,6.0,50.0,250.0,0.0,0.0
564,4.0,450.0,1000.0,0.0,750.0
565,7.0,450.0,950.0,150.0,250.0
566,8.0,70.0,350.0,0.0,70.0
567,5.0,350.0,850.0,0.0,650.0
568,10.0,350.0,750.0,350.0,550.0
569,5.0,50.0,550.0,50.0,0.0
570,10.0,150.0,550.0,250.0,450.0
571,8.0,90.0,650.0,50.0,90.0
572,7.0,30.0,30.0,0.0,70.0
573,6.0,90.0,550.0,50.0,0.0
574,5.0,250.0,550.0,950.0,350.0
575,7.0,0.0,550.0,0.0,450.0
576,6.0,0.0,550.0,0.0,0.0
577,5.0,50.0,250.0,250.0,50.0
578,2.0,0.0,750.0,0.0,0.0
579,7.0,250.0,750.0,30.0,250.0
580,9.0,350.0,650.0,90.0,350.0
581,9.0,450.0,750.0,0.0,650.0
582,7.0,250.0,850.0,0.0,250.0
583,4.0,350.0,90.0,150.0,250.0
584,5.0,250.0,550.0,30.0,0.0
585,7.0,250.0,550.0,30.0,250.0
586,,0.0,,0.0,0.0
587,4.0,850.0,850.0,0.0,70.0
588,9.0,250.0,650.0,0.0,250.0
